Llave no. 0 (0,1) Inverso: 1 
Llave no. 122 (1,67) Inverso: 78 
Llave no. 123 (1,68) Inverso: 7 
Llave no. 124 (1,69) Inverso: 84 
Llave no. 125 (1,71) Inverso: 91 
Llave no. 126 (1,72) Inverso: 33 
Llave no. 127 (1,73) Inverso: 82 
Llave no. 128 (1,74) Inverso: 9 
Llave no. 129 (1,77) Inverso: 58 
Llave no. 130 (1,78) Inverso: 67 
Llave no. 131 (1,79) Inverso: 89 
Llave no. 132 (1,81) Inverso: 61 
Llave no. 133 (1,82) Inverso: 73 
Llave no. 134 (1,83) Inverso: 87 
Llave no. 135 (1,84) Inverso: 69 
Llave no. 136 (1,86) Inverso: 21 
Llave no. 137 (1,87) Inverso: 83 
Llave no. 138 (1,88) Inverso: 27 
Llave no. 139 (1,89) Inverso: 79 
Llave no. 140 (1,91) Inverso: 71 
Llave no. 141 (1,92) Inverso: 63 
Llave no. 142 (1,93) Inverso: 47 
Llave no. 143 (1,94) Inverso: 94 
Llave no. 144 (2,1) Inverso: 1 
Llave no. 145 (2,2) Inverso: 48 
Llave no. 146 (2,3) Inverso: 32 
Llave no. 147 (2,4) Inverso: 24 
Llave no. 148 (2,6) Inverso: 16 
Llave no. 149 (2,7) Inverso: 68 
Llave no. 150 (2,8) Inverso: 12 
Llave no. 151 (2,9) Inverso: 74 
Llave no. 152 (2,11) Inverso: 26 
Llave no. 153 (2,12) Inverso: 8 
Llave no. 154 (2,13) Inverso: 22 
Llave no. 155 (2,14) Inverso: 34 
Llave no. 156 (2,16) Inverso: 6 
Llave no. 157 (2,17) Inverso: 28 
Llave no. 158 (2,18) Inverso: 37 
Llave no. 159 (2,21) Inverso: 86 
Llave no. 160 (2,22) Inverso: 13 
Llave no. 161 (2,23) Inverso: 62 
Llave no. 162 (2,24) Inverso: 4 
Llave no. 163 (2,26) Inverso: 11 
Llave no. 164 (2,27) Inverso: 88 
Llave no. 165 (2,28) Inverso: 17 
Llave no. 166 (2,29) Inverso: 59 
Llave no. 167 (2,31) Inverso: 46 
Llave no. 168 (2,32) Inverso: 3 
Llave no. 169 (2,33) Inverso: 72 
Llave no. 170 (2,34) Inverso: 14 
Llave no. 171 (2,36) Inverso: 66 
Llave no. 172 (2,37) Inverso: 18 
Llave no. 173 (2,39) Inverso: 39 
Llave no. 174 (2,41) Inverso: 51 
Llave no. 175 (2,42) Inverso: 43 
Llave no. 176 (2,43) Inverso: 42 
Llave no. 177 (2,44) Inverso: 54 
Llave no. 178 (2,46) Inverso: 31 
Llave no. 179 (2,47) Inverso: 93 
Llave no. 180 (2,48) Inverso: 2 
Llave no. 181 (2,49) Inverso: 64 
Llave no. 182 (2,51) Inverso: 41 
Llave no. 183 (2,52) Inverso: 53 
Llave no. 184 (2,53) Inverso: 52 
Llave no. 185 (2,54) Inverso: 44 
Llave no. 186 (2,56) Inverso: 56 
Llave no. 187 (2,58) Inverso: 77 
Llave no. 188 (2,59) Inverso: 29 
Llave no. 189 (2,61) Inverso: 81 
Llave no. 190 (2,62) Inverso: 23 
Llave no. 191 (2,63) Inverso: 92 
Llave no. 192 (2,64) Inverso: 49 
Llave no. 193 (2,66) Inverso: 36 
Llave no. 194 (2,67) Inverso: 78 
Llave no. 195 (2,68) Inverso: 7 
Llave no. 196 (2,69) Inverso: 84 
Llave no. 197 (2,71) Inverso: 91 
Llave no. 198 (2,72) Inverso: 33 
Llave no. 199 (2,73) Inverso: 82 
Llave no. 200 (2,74) Inverso: 9 
Llave no. 201 (2,77) Inverso: 58 
Llave no. 202 (2,78) Inverso: 67 
Llave no. 203 (2,79) Inverso: 89 
Llave no. 204 (2,81) Inverso: 61 
Llave no. 205 (2,82) Inverso: 73 
Llave no. 206 (2,83) Inverso: 87 
Llave no. 207 (2,84) Inverso: 69 
Llave no. 208 (2,86) Inverso: 21 
Llave no. 209 (2,87) Inverso: 83 
Llave no. 210 (2,88) Inverso: 27 
Llave no. 211 (2,89) Inverso: 79 
Llave no. 212 (2,91) Inverso: 71 
Llave no. 213 (2,92) Inverso: 63 
Llave no. 214 (2,93) Inverso: 47 
Llave no. 215 (2,94) Inverso: 94 
Llave no. 216 (3,1) Inverso: 1 
Llave no. 217 (3,2) Inverso: 48 
Llave no. 218 (3,3) Inverso: 32 
Llave no. 219 (3,4) Inverso: 24 
Llave no. 220 (3,6) Inverso: 16 
Llave no. 221 (3,7) Inverso: 68 
Llave no. 222 (3,8) Inverso: 12 
Llave no. 223 (3,9) Inverso: 74 
Llave no. 224 (3,11) Inverso: 26 
Llave no. 225 (3,12) Inverso: 8 
Llave no. 226 (3,13) Inverso: 22 
Llave no. 227 (3,14) Inverso: 34 
Llave no. 228 (3,16) Inverso: 6 
Llave no. 229 (3,17) Inverso: 28 
Llave no. 230 (3,18) Inverso: 37 
Llave no. 231 (3,21) Inverso: 86 
Llave no. 232 (3,22) Inverso: 13 
Llave no. 233 (3,23) Inverso: 62 
Llave no. 234 (3,24) Inverso: 4 
Llave no. 235 (3,26) Inverso: 11 
Llave no. 236 (3,27) Inverso: 88 
Llave no. 237 (3,28) Inverso: 17 
Llave no. 238 (3,29) Inverso: 59 
Llave no. 239 (3,31) Inverso: 46 
Llave no. 240 (3,32) Inverso: 3 
Llave no. 241 (3,33) Inverso: 72 
Llave no. 242 (3,34) Inverso: 14 
Llave no. 243 (3,36) Inverso: 66 
Llave no. 244 (3,37) Inverso: 18 
Llave no. 245 (3,39) Inverso: 39 
Llave no. 246 (3,41) Inverso: 51 
Llave no. 247 (3,42) Inverso: 43 
Llave no. 248 (3,43) Inverso: 42 
Llave no. 249 (3,44) Inverso: 54 
Llave no. 250 (3,46) Inverso: 31 
Llave no. 251 (3,47) Inverso: 93 
Llave no. 252 (3,48) Inverso: 2 
Llave no. 253 (3,49) Inverso: 64 
Llave no. 254 (3,51) Inverso: 41 
Llave no. 255 (3,52) Inverso: 53 
Llave no. 256 (3,53) Inverso: 52 
Llave no. 257 (3,54) Inverso: 44 
Llave no. 258 (3,56) Inverso: 56 
Llave no. 259 (3,58) Inverso: 77 
Llave no. 260 (3,59) Inverso: 29 
Llave no. 261 (3,61) Inverso: 81 
Llave no. 262 (3,62) Inverso: 23 
Llave no. 263 (3,63) Inverso: 92 
Llave no. 264 (3,64) Inverso: 49 
Llave no. 265 (3,66) Inverso: 36 
Llave no. 266 (3,67) Inverso: 78 
Llave no. 267 (3,68) Inverso: 7 
Llave no. 268 (3,69) Inverso: 84 
Llave no. 269 (3,71) Inverso: 91 
Llave no. 270 (3,72) Inverso: 33 
Llave no. 271 (3,73) Inverso: 82 
Llave no. 272 (3,74) Inverso: 9 
Llave no. 273 (3,77) Inverso: 58 
Llave no. 274 (3,78) Inverso: 67 
Llave no. 275 (3,79) Inverso: 89 
Llave no. 276 (3,81) Inverso: 61 
Llave no. 277 (3,82) Inverso: 73 
Llave no. 278 (3,83) Inverso: 87 
Llave no. 279 (3,84) Inverso: 69 
Llave no. 280 (3,86) Inverso: 21 
Llave no. 281 (3,87) Inverso: 83 
Llave no. 282 (3,88) Inverso: 27 
Llave no. 283 (3,89) Inverso: 79 
Llave no. 284 (3,91) Inverso: 71 
Llave no. 285 (3,92) Inverso: 63 
Llave no. 286 (3,93) Inverso: 47 
Llave no. 287 (3,94) Inverso: 94 
Llave no. 288 (4,1) Inverso: 1 
Llave no. 289 (4,2) Inverso: 48 
Llave no. 290 (4,3) Inverso: 32 
Llave no. 291 (4,4) Inverso: 24 
Llave no. 292 (4,6) Inverso: 16 
Llave no. 293 (4,7) Inverso: 68 
Llave no. 294 (4,8) Inverso: 12 
Llave no. 295 (4,9) Inverso: 74 
Llave no. 296 (4,11) Inverso: 26 
Llave no. 297 (4,12) Inverso: 8 
Llave no. 298 (4,13) Inverso: 22 
Llave no. 299 (4,14) Inverso: 34 
Llave no. 300 (4,16) Inverso: 6 
Llave no. 301 (4,17) Inverso: 28 
Llave no. 302 (4,18) Inverso: 37 
Llave no. 303 (4,21) Inverso: 86 
Llave no. 304 (4,22) Inverso: 13 
Llave no. 305 (4,23) Inverso: 62 
Llave no. 306 (4,24) Inverso: 4 
Llave no. 307 (4,26) Inverso: 11 
Llave no. 308 (4,27) Inverso: 88 
Llave no. 309 (4,28) Inverso: 17 
Llave no. 310 (4,29) Inverso: 59 
Llave no. 311 (4,31) Inverso: 46 
Llave no. 312 (4,32) Inverso: 3 
Llave no. 313 (4,33) Inverso: 72 
Llave no. 314 (4,34) Inverso: 14 
Llave no. 315 (4,36) Inverso: 66 
Llave no. 316 (4,37) Inverso: 18 
Llave no. 317 (4,39) Inverso: 39 
Llave no. 318 (4,41) Inverso: 51 
Llave no. 319 (4,42) Inverso: 43 
Llave no. 320 (4,43) Inverso: 42 
Llave no. 321 (4,44) Inverso: 54 
Llave no. 322 (4,46) Inverso: 31 
Llave no. 323 (4,47) Inverso: 93 
Llave no. 324 (4,48) Inverso: 2 
Llave no. 325 (4,49) Inverso: 64 
Llave no. 326 (4,51) Inverso: 41 
Llave no. 327 (4,52) Inverso: 53 
Llave no. 328 (4,53) Inverso: 52 
Llave no. 329 (4,54) Inverso: 44 
Llave no. 330 (4,56) Inverso: 56 
Llave no. 331 (4,58) Inverso: 77 
Llave no. 332 (4,59) Inverso: 29 
Llave no. 333 (4,61) Inverso: 81 
Llave no. 334 (4,62) Inverso: 23 
Llave no. 335 (4,63) Inverso: 92 
Llave no. 336 (4,64) Inverso: 49 
Llave no. 337 (4,66) Inverso: 36 
Llave no. 338 (4,67) Inverso: 78 
Llave no. 339 (4,68) Inverso: 7 
Llave no. 340 (4,69) Inverso: 84 
Llave no. 341 (4,71) Inverso: 91 
Llave no. 342 (4,72) Inverso: 33 
Llave no. 343 (4,73) Inverso: 82 
Llave no. 344 (4,74) Inverso: 9 
Llave no. 345 (4,77) Inverso: 58 
Llave no. 346 (4,78) Inverso: 67 
Llave no. 347 (4,79) Inverso: 89 
Llave no. 348 (4,81) Inverso: 61 
Llave no. 349 (4,82) Inverso: 73 
Llave no. 350 (4,83) Inverso: 87 
Llave no. 351 (4,84) Inverso: 69 
Llave no. 352 (4,86) Inverso: 21 
Llave no. 353 (4,87) Inverso: 83 
Llave no. 354 (4,88) Inverso: 27 
Llave no. 355 (4,89) Inverso: 79 
Llave no. 356 (4,91) Inverso: 71 
Llave no. 357 (4,92) Inverso: 63 
Llave no. 358 (4,93) Inverso: 47 
Llave no. 359 (4,94) Inverso: 94 
Llave no. 360 (5,1) Inverso: 1 
Llave no. 361 (5,2) Inverso: 48 
Llave no. 362 (5,3) Inverso: 32 
Llave no. 363 (5,4) Inverso: 24 
Llave no. 364 (5,6) Inverso: 16 
Llave no. 365 (5,7) Inverso: 68 
Llave no. 366 (5,8) Inverso: 12 
Llave no. 367 (5,9) Inverso: 74 
Llave no. 368 (5,11) Inverso: 26 
Llave no. 369 (5,12) Inverso: 8 
Llave no. 370 (5,13) Inverso: 22 
Llave no. 371 (5,14) Inverso: 34 
Llave no. 372 (5,16) Inverso: 6 
Llave no. 373 (5,17) Inverso: 28 
Llave no. 374 (5,18) Inverso: 37 
Llave no. 375 (5,21) Inverso: 86 
Llave no. 376 (5,22) Inverso: 13 
Llave no. 377 (5,23) Inverso: 62 
Llave no. 378 (5,24) Inverso: 4 
Llave no. 379 (5,26) Inverso: 11 
Llave no. 380 (5,27) Inverso: 88 
Llave no. 381 (5,28) Inverso: 17 
Llave no. 382 (5,29) Inverso: 59 
Llave no. 383 (5,31) Inverso: 46 
Llave no. 384 (5,32) Inverso: 3 
Llave no. 385 (5,33) Inverso: 72 
Llave no. 386 (5,34) Inverso: 14 
Llave no. 387 (5,36) Inverso: 66 
Llave no. 388 (5,37) Inverso: 18 
Llave no. 389 (5,39) Inverso: 39 
Llave no. 390 (5,41) Inverso: 51 
Llave no. 391 (5,42) Inverso: 43 
Llave no. 392 (5,43) Inverso: 42 
Llave no. 393 (5,44) Inverso: 54 
Llave no. 394 (5,46) Inverso: 31 
Llave no. 395 (5,47) Inverso: 93 
Llave no. 396 (5,48) Inverso: 2 
Llave no. 397 (5,49) Inverso: 64 
Llave no. 398 (5,51) Inverso: 41 
Llave no. 399 (5,52) Inverso: 53 
Llave no. 400 (5,53) Inverso: 52 
Llave no. 401 (5,54) Inverso: 44 
Llave no. 402 (5,56) Inverso: 56 
Llave no. 403 (5,58) Inverso: 77 
Llave no. 404 (5,59) Inverso: 29 
Llave no. 405 (5,61) Inverso: 81 
Llave no. 406 (5,62) Inverso: 23 
Llave no. 407 (5,63) Inverso: 92 
Llave no. 408 (5,64) Inverso: 49 
Llave no. 409 (5,66) Inverso: 36 
Llave no. 410 (5,67) Inverso: 78 
Llave no. 411 (5,68) Inverso: 7 
Llave no. 412 (5,69) Inverso: 84 
Llave no. 413 (5,71) Inverso: 91 
Llave no. 414 (5,72) Inverso: 33 
Llave no. 415 (5,73) Inverso: 82 
Llave no. 416 (5,74) Inverso: 9 
Llave no. 417 (5,77) Inverso: 58 
Llave no. 418 (5,78) Inverso: 67 
Llave no. 419 (5,79) Inverso: 89 
Llave no. 420 (5,81) Inverso: 61 
Llave no. 421 (5,82) Inverso: 73 
Llave no. 422 (5,83) Inverso: 87 
Llave no. 423 (5,84) Inverso: 69 
Llave no. 424 (5,86) Inverso: 21 
Llave no. 425 (5,87) Inverso: 83 
Llave no. 426 (5,88) Inverso: 27 
Llave no. 427 (5,89) Inverso: 79 
Llave no. 428 (5,91) Inverso: 71 
Llave no. 429 (5,92) Inverso: 63 
Llave no. 430 (5,93) Inverso: 47 
Llave no. 431 (5,94) Inverso: 94 
Llave no. 432 (6,1) Inverso: 1 
Llave no. 433 (6,2) Inverso: 48 
Llave no. 434 (6,3) Inverso: 32 
Llave no. 435 (6,4) Inverso: 24 
Llave no. 436 (6,6) Inverso: 16 
Llave no. 437 (6,7) Inverso: 68 
Llave no. 438 (6,8) Inverso: 12 
Llave no. 439 (6,9) Inverso: 74 
Llave no. 440 (6,11) Inverso: 26 
Llave no. 441 (6,12) Inverso: 8 
Llave no. 442 (6,13) Inverso: 22 
Llave no. 443 (6,14) Inverso: 34 
Llave no. 444 (6,16) Inverso: 6 
Llave no. 445 (6,17) Inverso: 28 
Llave no. 446 (6,18) Inverso: 37 
Llave no. 447 (6,21) Inverso: 86 
Llave no. 448 (6,22) Inverso: 13 
Llave no. 449 (6,23) Inverso: 62 
Llave no. 450 (6,24) Inverso: 4 
Llave no. 451 (6,26) Inverso: 11 
Llave no. 452 (6,27) Inverso: 88 
Llave no. 453 (6,28) Inverso: 17 
Llave no. 454 (6,29) Inverso: 59 
Llave no. 455 (6,31) Inverso: 46 
Llave no. 456 (6,32) Inverso: 3 
Llave no. 457 (6,33) Inverso: 72 
Llave no. 458 (6,34) Inverso: 14 
Llave no. 459 (6,36) Inverso: 66 
Llave no. 460 (6,37) Inverso: 18 
Llave no. 461 (6,39) Inverso: 39 
Llave no. 462 (6,41) Inverso: 51 
Llave no. 463 (6,42) Inverso: 43 
Llave no. 464 (6,43) Inverso: 42 
Llave no. 465 (6,44) Inverso: 54 
Llave no. 466 (6,46) Inverso: 31 
Llave no. 467 (6,47) Inverso: 93 
Llave no. 468 (6,48) Inverso: 2 
Llave no. 469 (6,49) Inverso: 64 
Llave no. 470 (6,51) Inverso: 41 
Llave no. 471 (6,52) Inverso: 53 
Llave no. 472 (6,53) Inverso: 52 
Llave no. 473 (6,54) Inverso: 44 
Llave no. 474 (6,56) Inverso: 56 
Llave no. 475 (6,58) Inverso: 77 
Llave no. 476 (6,59) Inverso: 29 
Llave no. 477 (6,61) Inverso: 81 
Llave no. 478 (6,62) Inverso: 23 
Llave no. 479 (6,63) Inverso: 92 
Llave no. 480 (6,64) Inverso: 49 
Llave no. 481 (6,66) Inverso: 36 
Llave no. 482 (6,67) Inverso: 78 
Llave no. 483 (6,68) Inverso: 7 
Llave no. 484 (6,69) Inverso: 84 
Llave no. 485 (6,71) Inverso: 91 
Llave no. 486 (6,72) Inverso: 33 
Llave no. 487 (6,73) Inverso: 82 
Llave no. 488 (6,74) Inverso: 9 
Llave no. 489 (6,77) Inverso: 58 
Llave no. 490 (6,78) Inverso: 67 
Llave no. 491 (6,79) Inverso: 89 
Llave no. 492 (6,81) Inverso: 61 
Llave no. 493 (6,82) Inverso: 73 
Llave no. 494 (6,83) Inverso: 87 
Llave no. 495 (6,84) Inverso: 69 
Llave no. 496 (6,86) Inverso: 21 
Llave no. 497 (6,87) Inverso: 83 
Llave no. 498 (6,88) Inverso: 27 
Llave no. 499 (6,89) Inverso: 79 
Llave no. 500 (6,91) Inverso: 71 
Llave no. 501 (6,92) Inverso: 63 
Llave no. 502 (6,93) Inverso: 47 
Llave no. 503 (6,94) Inverso: 94 
Llave no. 504 (7,1) Inverso: 1 
Llave no. 505 (7,2) Inverso: 48 
Llave no. 506 (7,3) Inverso: 32 
Llave no. 507 (7,4) Inverso: 24 
Llave no. 508 (7,6) Inverso: 16 
Llave no. 509 (7,7) Inverso: 68 
Llave no. 510 (7,8) Inverso: 12 
Llave no. 511 (7,9) Inverso: 74 
Llave no. 512 (7,11) Inverso: 26 
Llave no. 513 (7,12) Inverso: 8 
Llave no. 514 (7,13) Inverso: 22 
Llave no. 515 (7,14) Inverso: 34 
Llave no. 516 (7,16) Inverso: 6 
Llave no. 517 (7,17) Inverso: 28 
Llave no. 518 (7,18) Inverso: 37 
Llave no. 519 (7,21) Inverso: 86 
Llave no. 520 (7,22) Inverso: 13 
Llave no. 521 (7,23) Inverso: 62 
Llave no. 522 (7,24) Inverso: 4 
Llave no. 523 (7,26) Inverso: 11 
Llave no. 524 (7,27) Inverso: 88 
Llave no. 525 (7,28) Inverso: 17 
Llave no. 526 (7,29) Inverso: 59 
Llave no. 527 (7,31) Inverso: 46 
Llave no. 528 (7,32) Inverso: 3 
Llave no. 529 (7,33) Inverso: 72 
Llave no. 530 (7,34) Inverso: 14 
Llave no. 531 (7,36) Inverso: 66 
Llave no. 532 (7,37) Inverso: 18 
Llave no. 533 (7,39) Inverso: 39 
Llave no. 534 (7,41) Inverso: 51 
Llave no. 535 (7,42) Inverso: 43 
Llave no. 536 (7,43) Inverso: 42 
Llave no. 537 (7,44) Inverso: 54 
Llave no. 538 (7,46) Inverso: 31 
Llave no. 539 (7,47) Inverso: 93 
Llave no. 540 (7,48) Inverso: 2 
Llave no. 541 (7,49) Inverso: 64 
Llave no. 542 (7,51) Inverso: 41 
Llave no. 543 (7,52) Inverso: 53 
Llave no. 544 (7,53) Inverso: 52 
Llave no. 545 (7,54) Inverso: 44 
Llave no. 546 (7,56) Inverso: 56 
Llave no. 547 (7,58) Inverso: 77 
Llave no. 548 (7,59) Inverso: 29 
Llave no. 549 (7,61) Inverso: 81 
Llave no. 550 (7,62) Inverso: 23 
Llave no. 551 (7,63) Inverso: 92 
Llave no. 552 (7,64) Inverso: 49 
Llave no. 553 (7,66) Inverso: 36 
Llave no. 554 (7,67) Inverso: 78 
Llave no. 555 (7,68) Inverso: 7 
Llave no. 556 (7,69) Inverso: 84 
Llave no. 557 (7,71) Inverso: 91 
Llave no. 558 (7,72) Inverso: 33 
Llave no. 559 (7,73) Inverso: 82 
Llave no. 560 (7,74) Inverso: 9 
Llave no. 561 (7,77) Inverso: 58 
Llave no. 562 (7,78) Inverso: 67 
Llave no. 563 (7,79) Inverso: 89 
Llave no. 564 (7,81) Inverso: 61 
Llave no. 565 (7,82) Inverso: 73 
Llave no. 566 (7,83) Inverso: 87 
Llave no. 567 (7,84) Inverso: 69 
Llave no. 568 (7,86) Inverso: 21 
Llave no. 569 (7,87) Inverso: 83 
Llave no. 570 (7,88) Inverso: 27 
Llave no. 571 (7,89) Inverso: 79 
Llave no. 572 (7,91) Inverso: 71 
Llave no. 573 (7,92) Inverso: 63 
Llave no. 574 (7,93) Inverso: 47 
Llave no. 575 (7,94) Inverso: 94 
Llave no. 576 (8,1) Inverso: 1 
Llave no. 577 (8,2) Inverso: 48 
Llave no. 578 (8,3) Inverso: 32 
Llave no. 579 (8,4) Inverso: 24 
Llave no. 580 (8,6) Inverso: 16 
Llave no. 581 (8,7) Inverso: 68 
Llave no. 582 (8,8) Inverso: 12 
Llave no. 583 (8,9) Inverso: 74 
Llave no. 584 (8,11) Inverso: 26 
Llave no. 585 (8,12) Inverso: 8 
Llave no. 586 (8,13) Inverso: 22 
Llave no. 587 (8,14) Inverso: 34 
Llave no. 588 (8,16) Inverso: 6 
Llave no. 589 (8,17) Inverso: 28 
Llave no. 590 (8,18) Inverso: 37 
Llave no. 591 (8,21) Inverso: 86 
Llave no. 592 (8,22) Inverso: 13 
Llave no. 593 (8,23) Inverso: 62 
Llave no. 594 (8,24) Inverso: 4 
Llave no. 595 (8,26) Inverso: 11 
Llave no. 596 (8,27) Inverso: 88 
Llave no. 597 (8,28) Inverso: 17 
Llave no. 598 (8,29) Inverso: 59 
Llave no. 599 (8,31) Inverso: 46 
Llave no. 600 (8,32) Inverso: 3 
Llave no. 601 (8,33) Inverso: 72 
Llave no. 602 (8,34) Inverso: 14 
Llave no. 603 (8,36) Inverso: 66 
Llave no. 604 (8,37) Inverso: 18 
Llave no. 605 (8,39) Inverso: 39 
Llave no. 606 (8,41) Inverso: 51 
Llave no. 607 (8,42) Inverso: 43 
Llave no. 608 (8,43) Inverso: 42 
Llave no. 609 (8,44) Inverso: 54 
Llave no. 610 (8,46) Inverso: 31 
Llave no. 611 (8,47) Inverso: 93 
Llave no. 612 (8,48) Inverso: 2 
Llave no. 613 (8,49) Inverso: 64 
Llave no. 614 (8,51) Inverso: 41 
Llave no. 615 (8,52) Inverso: 53 
Llave no. 616 (8,53) Inverso: 52 
Llave no. 617 (8,54) Inverso: 44 
Llave no. 618 (8,56) Inverso: 56 
Llave no. 619 (8,58) Inverso: 77 
Llave no. 620 (8,59) Inverso: 29 
Llave no. 621 (8,61) Inverso: 81 
Llave no. 622 (8,62) Inverso: 23 
Llave no. 623 (8,63) Inverso: 92 
Llave no. 624 (8,64) Inverso: 49 
Llave no. 625 (8,66) Inverso: 36 
Llave no. 626 (8,67) Inverso: 78 
Llave no. 627 (8,68) Inverso: 7 
Llave no. 628 (8,69) Inverso: 84 
Llave no. 629 (8,71) Inverso: 91 
Llave no. 630 (8,72) Inverso: 33 
Llave no. 631 (8,73) Inverso: 82 
Llave no. 632 (8,74) Inverso: 9 
Llave no. 633 (8,77) Inverso: 58 
Llave no. 634 (8,78) Inverso: 67 
